"Arthur BES Modules","Módulos Arthur BES"
"General","Geral"
"Active","Ativo"
"Check here if you want the module be active","Marque aqui se deseja ativar o módulo"
"Set here your API key","Informe aqui sua API key"
"Set here the API endpoint","Informe aqui o endpoint da API"
"Log","Log"
"Save Log","Salvar Log"
"Delete Log","Remover Log"
"Update Log","Atualizar Log"
"View Log","Visualizar Log"
"Could not save the log","Não foi possível salvar o log"
"Log with id "%1" does not exist.","O log com o id "%1" não existe."
"Could not delete the log: %1","Não foi possível deletar o log de id %1"
"Is error?","É erro?"
"Message","Messagem"
"Created At","Data de criação"
